Id,Username,Nickname,Email Address,Home Folder,Role,Time Zone,Download,Upload,Modify,Delete,List,Change Password,Share,Notification,View Form Data,Delete Form Data,Expiration,Last Logged In,locked,Created,Modified
125391,admin-boboohab,admin-boboohab,admin@exavault.amylangill.com,/,admin,America/Los_Angeles,download,upload,modify,delete,list,change_password,share,notification,view_form_data,delete_form_data,,2020-10-14T08:30:23-07:00,,2020-09-02 18:54:14-07:00,2020-10-14 08:30:23-07:00
125457,Bessie.Schinner@example.org,Bessie.Schinner@example.org,Kelton94@example.net,/,user,UTC,download,upload,modify,delete,,change_password,,,,,,never,,2020-09-15 23:37:29-07:00,2020-09-15 23:37:29-07:00
125461,blah-123,blah-123,test@test.test,/NewHome-110,user,America/Los_Angeles,download,upload,,,,,,,,,,never,,2020-09-16 21:59:55-07:00,2020-09-16 21:59:55-07:00
125407,boboohab-locked,boboohab-locked,locked@locked.lock,/,user,America/Los_Angeles,download,upload,modify,delete,list,change_password,share,notification,view_form_data,delete_form_data,,never,locked,2020-09-13 19:01:41-07:00,2020-09-13 19:01:41-07:00
125477,csea969058,csea969058,test@exavault.com,/,user,UTC,download,upload,modify,delete,list,,,,,,,never,,2020-09-18 14:20:26-07:00,2020-09-18 14:20:26-07:00
125767,javatestuser-48427344,javatestuser-48427344,testuser@example.com,/,user,America/Los_Angeles,download,upload,modify,delete,,,,,,,,never,,2020-10-14 10:40:00-07:00,2020-10-14 10:40:00-07:00
125455,newname@exavault.amylangill.com,newname@exavault.amylangill.com,test@exavault.com,/,user,America/Los_Angeles,download,,,,,,,,,,,never,,2020-09-15 09:46:50-07:00,2020-09-15 09:46:50-07:00
125367,one-boboohab,one-boboohab,test+one-boboohab@exavault.com,/,master,America/Los_Angeles,download,upload,modify,delete,list,change_password,share,notification,view_form_data,delete_form_data,,2020-10-14T08:30:49-07:00,,2020-08-12 15:17:21-07:00,2020-10-14 08:30:49-07:00
125421,one-boboohab-1080p,one-boboohab-1080p,Myriam_Nicolas92@example.com,/brand new folder,user,America/Los_Angeles,,,,,list,,,,,,,never,,2020-09-13 20:44:04-07:00,2020-09-13 20:44:04-07:00
125743,one-boboohab-7OAEk4t59Ujc06Bues6b5-1602537441,Created via the API,test@example.com,/Home directory for API Users,user,UTC,download,upload,modify,delete,list,change_password,share,notification,,,,never,,2020-10-12 14:17:21-07:00,2020-10-12 14:17:21-07:00
125745,one-boboohab-7OAEk4t59Ujc06Bues6b5-1602537484,Created via the API,test@example.com,/Home directory for API Users,user,UTC,download,upload,modify,delete,list,change_password,share,notification,,,,never,,2020-10-12 14:18:04-07:00,2020-10-12 14:18:04-07:00
125747,one-boboohab-7OAEk4t59Ujc06Bues6b5-1602538420,Created via the API,test@example.com,/Home directory for API Users,user,UTC,download,upload,modify,delete,list,change_password,share,notification,,,,never,,2020-10-12 14:33:40-07:00,2020-10-12 14:33:40-07:00
